name,category,avg_n,avg_k,file_path
MgF2,LOW_INDEX,1.4176,0.00027,./MgF2.csv
SiO2,LOW_INDEX,1.4664,0.0,./SiO2.csv
ZnO,LOW_INDEX,1.5745,0.00205,./ZnO.csv
MgO,MEDIUM_INDEX,1.6961,0.0,./MgO.csv
Si3N4,MEDIUM_INDEX,1.963,0.0,./Si3N4.csv
HfO2,HIGH_INDEX,2.0586,0.0,./HfO2.csv
TiO2,HIGH_INDEX,2.0644,0.0,./TiO2.csv
Ta2O5,HIGH_INDEX,2.091,0.0,./Ta2O5.csv
AlN,HIGH_INDEX,2.125,0.0,./AlN.csv
Nb2O5,HIGH_INDEX,2.245,0.0,./Nb2O5.csv
ZnS,HIGH_INDEX,2.2862,1e-05,./ZnS.csv
ZnSe,HIGH_INDEX,2.4102,0.02419,./ZnSe.csv
Si,ULTRA_HIGH_INDEX,3.4699,0.0,./Si.csv
a-Si,ULTRA_HIGH_INDEX,3.5418,0.00108,./a-Si.csv
ITO,ABSORBER_LOSSY,0.5821,0.69269,./ITO.csv
GaSb,ABSORBER_LOSSY,4.0651,0.16811,./GaSb.csv
Ge,ABSORBER_LOSSY,4.5957,0.14646,./Ge.csv
Ag,METAL,0.1207,9.59894,./Ag.csv
Au,METAL,0.1818,9.2785,./Au.csv
Al,METAL,1.2014,11.63079,./Al.csv
Al2O3,METAL,1.3265,11.54337,./Al2O3.csv
TiN,METAL,2.5513,4.39388,./TiN.csv
